orden_venta,producto,producto_template,cantidad,unidad_medida,precio_unitario,subtotal,actualizado
S00107,[TOPP008] TOPPING DE FRUTILLA 12 BX,[TOPP008] TOPPING DE FRUTILLA 12 BX,588.0,kg,4.0,2352.0,2026-06-28 08:00:20
S00107,[PULP006] PULPA DE FRESA 12 KG,[PULP006] PULPA DE FRESA 12 KG,84.0,kg,2.4,201.6,2026-06-28 08:00:20
S00107,[PULP020] PULPA DE MORA 14KG,[PULP020] PULPA DE MORA 14KG,476.0,kg,2.68,1275.68,2026-06-28 08:00:20
S00107,[PULP002] PULPA DE MORA 41 BX 12 KG,[PULP002] PULPA DE MORA 41 BX 12 KG,96.0,kg,3.96,380.16,2026-06-28 08:00:20
S00106,[SALS006] SALSA DE FRESA EDULCORADA 15 KG,[SALS006] SALSA DE FRESA EDULCORADA 15 KG,1860.0,kg,2.73,5077.8,2026-06-28 08:00:20
S00106,[SALS005] SALSA DE DURAZNO EDULCORADA 15 KG,[SALS005] SALSA DE DURAZNO EDULCORADA 15 KG,330.0,kg,3.79,1250.7,2026-06-28 08:00:20
S00105,[FRUTP005] FRESA PICADA 16 KG,[FRUTP005] FRESA PICADA 16 KG,1728.0,kg,2.04,3525.12,2026-06-28 08:00:20
S00104,[SALS007] SALSA DE CHOCOLATE 1 KG,[SALS007] SALSA DE CHOCOLATE 1 KG,1000.0,kg,3.79,3790.0,2026-06-28 08:00:20
S00103,[SALS007] SALSA DE CHOCOLATE 1 KG,[SALS007] SALSA DE CHOCOLATE 1 KG,600.0,kg,3.79,2274.0,2026-06-28 08:00:20
S00102,[PULP012] PULPA DE TOMATE DE ARBOL 16 KG,[PULP012] PULPA DE TOMATE DE ARBOL 16 KG,1504.0,kg,2.62,3940.48,2026-06-28 08:00:20
S00102,[PULP009] PULPA DE PAPAYA 16 KG,[PULP009] PULPA DE PAPAYA 16 KG,320.0,kg,2.1,672.0,2026-06-28 08:00:20
S00102,[PULP010] PULPA DE MARACUYA 10 KG,[PULP010] PULPA DE MARACUYA 10 KG,10.0,kg,3.45,34.5,2026-06-28 08:00:20
S00102,[PULP014] PULPA DE PIÑA 16 KG,[PULP014] PULPA DE PIÑA 16 KG,64.0,kg,2.67,170.88,2026-06-28 08:00:20
S00101,[TOPP001] TOPPING DE FRUTILLA 20 BX 14 KG,[TOPP001] TOPPING DE FRUTILLA 20 BX 14 KG,0.0,kg,4.5,0.0,2026-06-28 08:00:20
S00101,[TOPP002] TOPPING DE PIÑA 20BX 2 KG,[TOPP002] TOPPING DE PIÑA 20BX 2 KG,46.0,kg,4.16,191.36,2026-06-28 08:00:20
S00101,[SALS009] SALSA DE ARANDANO,[SALS009] SALSA DE ARANDANO,0.0,kg,11.91,0.0,2026-06-28 08:00:20
S00101,[PULP006] PULPA DE FRESA 12 KG,[PULP006] PULPA DE FRESA 12 KG,76.0,kg,2.4,182.4,2026-06-28 08:00:20
S00101,[PULP020] PULPA DE MORA 14KG,[PULP020] PULPA DE MORA 14KG,476.0,kg,2.68,1275.68,2026-06-28 08:00:20
S00101,[PULP002] PULPA DE MORA 41 BX 12 KG,[PULP002] PULPA DE MORA 41 BX 12 KG,96.0,kg,3.96,380.16,2026-06-28 08:00:20
S00101,[TOPP008] TOPPING DE FRUTILLA 12 BX,[TOPP008] TOPPING DE FRUTILLA 12 BX,588.0,kg,4.5,2646.0,2026-06-28 08:00:20
S00101,[PULP011] PULPA DE ARANDANO 8 KG,[PULP011] PULPA DE ARANDANO 8 KG,144.0,kg,8.5,1224.0,2026-06-28 08:00:20
S00100,[SW001] SWIRL DE MORA 20 KG,[SW001] SWIRL DE MORA 20 KG,1200.0,kg,1.93,2316.0,2026-06-28 08:00:20
S00100,[PULP004] PULPA DE MORA CON PEPAS 18 KG,[PULP004] PULPA DE MORA CON PEPAS 18 KG,2196.0,kg,2.76,6060.96,2026-06-28 08:00:20
S00098,[FRUTP005] FRESA PICADA 16 KG,[FRUTP005] FRESA PICADA 16 KG,2304.0,kg,2.04,4700.16,2026-06-28 08:00:20
S00096,[PTEXP003] NARANJILLA PULP 12 X 14 OZ,[PTEXP003] NARANJILLA PULP 12 X 14 OZ,100.0,Caja de 12,10.96,1096.0,2026-06-28 08:00:20
S00096,[PTEXP004] GUAVA PULP 12 X 14 OZ,[PTEXP004] GUAVA PULP 12 X 14 OZ,900.0,Caja de 12,9.29,8361.0,2026-06-28 08:00:20
