codigo,descripcion,cliente,brix_min,brix_max,ph_min,ph_max
PULP022,PULPA DE GUANABANA 150 g - AXIONLOG ECUADOR S.A,AXIONLOG ECUADOR S.A ,11.0,16.0,3.3,4.0
PULP024,PULPA DE LIMON 150 g - AXIONLOG ECUADOR S.A,AXIONLOG ECUADOR S.A ,6.0,8.0,2.0,4.0
PULP021,PULPA DE MORA 150 g - AXIONLOG ECUADOR S.A,AXIONLOG ECUADOR S.A ,6.0,10.0,2.5,3.5
PULP023,PULPA DE NARANJILLA 150 g - AXIONLOG ECUADOR S.A,AXIONLOG ECUADOR S.A ,6.0,10.0,2.7,3.5
TOPP007,TOPPING DE FRUTOS ROJOS 1 KG - AXIONLOG ECUADOR S.A,AXIONLOG ECUADOR S.A ,39.0,41.0,2.8,3.4
FRUTP005,FRESA PICADA 16 KG - CHIVERIA S.A.,CHIVERIA S.A. ,7.0,10.0,3.2,3.8
SALS007,SALSA DE CHOCOLATE 1 KG - DULCAFE S.A.,DULCAFE S.A. ,55.0,60.0,5.8,7.0
PULP016,PULPA DE FRESA 16 KG - ECUAJUGOS SA,ECUAJUGOS SA ,8.0,10.0,3.4,3.8
PULP017,PULPA DE MORA 16 KG - ECUAJUGOS SA,ECUAJUGOS SA ,6.0,10.0,2.5,3.5
PULP005,PULPA DE NARANJILLA 16 KG - ECUAJUGOS SA,ECUAJUGOS SA ,6.5,10.0,2.5,3.5
PTEC032,MORA ENTERA GOYA UE UNIDAD 397 g - GOYA UE,GOYA UE ,,,,
PTEC029,PULPA DE GUANABANA GOYA UE UNIDAD 250 g - GOYA UE,GOYA UE ,11.0,16.0,3.4,4.0
PTEC026,PULPA DE GUAYABA GOYA UE UNIDAD 250 g - GOYA UE,GOYA UE ,6.0,9.0,3.5,4.5
PTEC025,PULPA DE MORA GOYA UE UNIDAD 250 g - GOYA UE,GOYA UE ,6.0,10.0,2.5,3.5
PTEC027,PULPA DE NARANJILLA GOYA UE UNIDAD 250 g - GOYA UE,GOYA UE ,,,,
PTEC028,PULPA DE PAPAYA GOYA UE UNIDAD 250 g - GOYA UE,GOYA UE ,7.0,11.8,4.5,6.0
PTEC030,PULPA DE PIÑA GOYA UE UNIDAD 250 g - GOYA UE,GOYA UE ,10.0,15.0,3.3,4.2
PTEC031,PULPA DE TOMATE DE ARBOL GOYA UE UNIDAD 250 g - GOYA UE,GOYA UE ,7.0,10.0,3.4,4.2
PTEC024,PULPA DE FRESA GOYA USA UNIDAD 397 g - GOYA USA,GOYA USA ,,,,
PTEC002,PULPA DE GUANÁBANA GOYA USA UNIDAD 397 g - GOYA USA,GOYA USA ,11.0,16.0,3.3,4.0
PTEC004,PULPA DE GUAYABA GOYA USA UNIDAD 397 g - GOYA USA,GOYA USA ,6.0,9.0,3.5,4.5
PTEC001,PULPA DE MANGO GOYA USA UNIDAD 397 g - GOYA USA,GOYA USA ,13.0,16.0,3.7,4.2
