lote,producto,num_parada,brix,ph,acidez,recorrido,viscosidad,pct_fruta,ratio,responsable,repeticion,observaciones,fecha_produccion,actualizado
HF PB 232 26,GOYA USA  - PULPA DE GUAYABA GOYA USA UNIDAD 397 g - GOYA USA,1.0,7.1,3.96,0.48,,,,14.7916666666667,SF,False,,2026-08-27,2026-08-27 23:00:41
HF PB 237 26,GOYA USA  - PULPA DE GUAYABA GOYA USA UNIDAD 397 g - GOYA USA,1.0,7.3,4.02,0.45,,,,16.2222222222222,SF,False,,2026-08-27,2026-08-27 23:00:41
HF PB 237 26,GOYA USA  - PULPA DE GUAYABA GOYA USA UNIDAD 397 g - GOYA USA,2.0,7.2,4.02,0.45,,,,16.0,SF,False,,2026-08-27,2026-08-27 23:00:41
HF PB 237 26,GOYA USA  - PULPA DE GUAYABA GOYA USA UNIDAD 397 g - GOYA USA,3.0,7.4,3.99,0.53,,,,13.9622641509434,SF,False,,2026-08-27,2026-08-27 23:00:41
HF PB 237 26,GOYA USA  - PULPA DE GUAYABA GOYA USA UNIDAD 397 g - GOYA USA,4.0,7.2,4.01,0.5,,,,14.4,ET,False,,2026-08-27,2026-08-27 23:00:41
HF PB 237 26,GOYA USA  - PULPA DE GUAYABA GOYA USA UNIDAD 397 g - GOYA USA,5.0,7.2,3.93,0.46,,,,15.6521739130435,ET,False,,2026-08-27,2026-08-27 23:00:41
HF PB 237 26,GOYA USA  - PULPA DE GUAYABA GOYA USA UNIDAD 397 g - GOYA USA,6.0,6.9,3.96,0.45,,,,15.3333333333333,ET,False,,2026-08-27,2026-08-27 23:00:41
HF PB 237 26,GOYA USA  - PULPA DE GUAYABA GOYA USA UNIDAD 397 g - GOYA USA,7.0,6.9,3.92,0.46,,,,15.0,ET,False,,2026-08-27,2026-08-27 23:00:41
L2392607,REYLACTEOS C.L.  - SALSA DE FRESA EDULCORADA 15 KG - REYLACTEOS C.L.,1.0,7.8,3.57,,6.0,,54.0,,SF,False,,2026-08-27,2026-08-27 23:00:41
L2392607,REYLACTEOS C.L.  - SALSA DE FRESA EDULCORADA 15 KG - REYLACTEOS C.L.,2.0,8.0,3.57,,6.9,,48.0,,ET,False,,2026-08-27,2026-08-27 23:00:41
L2392607,REYLACTEOS C.L.  - SALSA DE FRESA EDULCORADA 15 KG - REYLACTEOS C.L.,3.0,7.5,3.7,,6.8,,52.0,,ET,False,,2026-08-27,2026-08-27 23:00:41
L2392607,REYLACTEOS C.L.  - SALSA DE FRESA EDULCORADA 15 KG - REYLACTEOS C.L.,4.0,8.6,3.53,,6.7,,54.0,,ET,False,,2026-08-27,2026-08-27 23:00:41
L2392609,KAARUFOOD CIA LTDA  - TOPPING DE DURAZNO 8 KG - KAARUFOOD CIA LTDA,1.0,11.5,3.81,,,,,,SF,False,"Se liberó con bx de 15.7
Se mandó 20 kg de agua y se envasó por autorización de gerencia ",2026-08-27,2026-08-27 23:00:41
