lote,producto,num_parada,brix,ph,acidez,recorrido,viscosidad,pct_fruta,ratio,responsable,repeticion,observaciones,fecha_produccion,actualizado
HF PB 188 26,GOYA USA  - PULPA DE GUANÁBANA GOYA USA UNIDAD 397 g - GOYA USA,1.0,15.6,3.32,1.21,,,,12.8925619834711,SF,False,,2026-07-07,2026-07-08 03:00:45
HF PB 188 26,GOYA USA  - PULPA DE GUANÁBANA GOYA USA UNIDAD 397 g - GOYA USA,2.0,15.7,3.37,1.21,,,,12.9752066115702,SF,False,,2026-07-07,2026-07-08 03:00:45
HF PB 188 26,GOYA USA  - PULPA DE GUANÁBANA GOYA USA UNIDAD 397 g - GOYA USA,3.0,15.7,3.48,1.15,,,,13.6521739130435,SF,False,,2026-07-07,2026-07-08 03:00:45
HF PB 188 26,GOYA USA  - PULPA DE GUANÁBANA GOYA USA UNIDAD 397 g - GOYA USA,4.0,15.8,3.38,1.08,,,,14.6296296296296,JG,False,,2026-07-07,2026-07-08 03:00:45
HF PB 188 26,GOYA USA  - PULPA DE GUANÁBANA GOYA USA UNIDAD 397 g - GOYA USA,5.0,15.7,3.58,0.83,,,,18.9156626506024,SF,False,,2026-07-07,2026-07-08 03:00:45
HF PB 188 26,GOYA USA  - PULPA DE GUANÁBANA GOYA USA UNIDAD 397 g - GOYA USA,6.0,15.8,3.55,0.83,,,,19.0361445783133,SF,False,,2026-07-07,2026-07-08 03:00:45
HF PB 188 26,GOYA USA  - PULPA DE GUANÁBANA GOYA USA UNIDAD 397 g - GOYA USA,7.0,15.0,3.63,0.76,,,,19.7368421052632,ET,False,,2026-07-07,2026-07-08 03:00:45
HF PB 188 26,GOYA USA  - PULPA DE GUANÁBANA GOYA USA UNIDAD 397 g - GOYA USA,8.0,15.1,3.62,0.79,,,,19.1139240506329,ET,False,,2026-07-07,2026-07-08 03:00:45
HF PB 188 26,GOYA USA  - PULPA DE GUANÁBANA GOYA USA UNIDAD 397 g - GOYA USA,9.0,15.5,3.6,0.81,,,,19.1358024691358,ET,False,,2026-07-07,2026-07-08 03:00:45
HF PB 188 26,GOYA USA  - PULPA DE GUANÁBANA GOYA USA UNIDAD 397 g - GOYA USA,10.0,14.3,3.6,0.81,,,,17.6543209876543,ET,False,,2026-07-07,2026-07-08 03:00:45
L1742615,MERICA  - PULPA DE TAMARINDO MERICA UNIDAD 250 g - MERICA,1.0,19.3,2.72,,,,,,ET,False,,2026-07-07,2026-07-08 03:00:45
L1802615,MERICA  - MARACUYÁ CON PEPAS MERICA UNIDAD 500 g - MERICA,1.0,13.4,2.94,,,,,,JG,False,,2026-07-07,2026-07-08 03:00:45
L1882615,MERICA  - PULPA DE TAMARINDO MERICA UNIDAD 250 g - MERICA,1.0,18.6,2.77,,,,,,ET,False,,2026-07-07,2026-07-08 03:00:45
L1882615,MERICA  - PULPA DE TAMARINDO MERICA UNIDAD 250 g - MERICA,2.0,19.1,2.81,,,,,,ET,False,,2026-07-07,2026-07-08 03:00:45
